"Package","DupPct","Diff","OnlyERP","OnlyPRS","Strict"
"attendance","72.2","5","0","0","False"
"batches","100","0","0","0","True"
"branding","100","0","0","0","True"
"caisse","92.9","1","0","0","False"
"clients","98.3","1","0","0","False"
"configuration","50","2","0","0","False"
"debts","100","0","0","0","True"
"expenses","69.2","4","0","0","False"
"inventory","100","0","0","0","True"
"invoice_payments","75","3","0","0","False"
"invoicing","67.2","16","3","0","False"
"items","100","0","0","0","True"
"kernel","100","0","0","0","True"
"losses","100","0","0","0","True"
"payroll","100","0","0","0","True"
"prescriptions","100","0","0","0","True"
"prospects","100","0","0","0","True"
"providers","100","0","0","0","True"
"purchases","100","0","0","0","True"
"quotations","82.6","4","0","0","False"
"reporting","71.4","2","0","0","False"
"reservations","100","0","0","0","True"
"returns","100","0","0","0","True"
"sales","100","0","0","0","True"
"stock","77.8","5","1","0","False"
"tickets","100","0","0","0","True"
"users","85","3","0","0","False"
